Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	3.949069	1.6803907	6.0938883	1.6278046	1000.0	-0.20125848	0.18268126	0.30433488	-0.67016447	4000	94.20315	0.42938718	-90.70067	-0.33119094	0.0	0.01618163	0.9175	75.0	21.10940432548523
1	1.4309728	1.0505574	3.2001653	0.57965165	1000.0	0.23507863	0.111908965	0.6438728	-0.19384132	8000	17.232748	0.058677193	-8.806311	-0.01913092	0.0	0.050081752	0.918	21.0	28.885709047317505
2	1.5944438	1.1694783	3.168247	0.10752659	1000.0	0.11998212	0.0743498	0.43679956	-0.13674097	12000	14.984229	0.054869838	-1.9939594	-0.008294787	0.0	0.03523228	0.92125	3.0	37.07000660896301
3	2.9579666	1.9015478	6.104248	1.1219335	1000.0	0.15504965	0.11690043	0.74415886	-0.2505167	16000	7.0851173	0.19719929	-0.28580475	-0.048828647	0.0	0.12036193	0.92325	2.0	44.894500732421875
4	1.6416792	0.5813626	2.2965903	0.70765746	1000.0	0.24613132	0.19097261	0.9336823	-0.5144833	20000	9.580128	0.07419208	0.0	-0.026016004	0.0	0.18454078	0.92125	0.0	53.013853311538696
5	1.4976815	1.429415	3.925687	0.264643	1000.0	0.18297999	0.107012115	0.6753069	-0.2169283	24000	17.174265	0.06140164	0.0	-0.013442926	0.0	0.12180945	0.924	0.0	60.66475558280945
6	2.085666	1.5261643	4.518699	0.57438874	1000.0	0.15559433	0.0946004	0.69238615	-0.2144416	28000	7.386427	0.113242984	0.0	-0.016995922	0.0	0.08224634	0.9275	0.0	68.4303548336029
7	1.209003	0.6558981	1.664341	0.08185611	1000.0	0.18329196	0.12362216	0.67749155	-0.28340966	32000	76.19655	0.02987355	0.0	-0.016136857	0.0	0.2090243	0.9275	0.0	78.8532977104187
8	2.6459563	1.8861144	5.6620955	0.48388538	1000.0	0.11582909	0.060033552	0.41471815	-0.065085426	36000	13.201572	0.12791252	0.0	-0.037543237	0.0	0.13626777	0.921	0.0	87.5395131111145
9	2.123817	1.2282896	4.0019584	0.83120036	1000.0	0.24716477	0.13382187	0.9492932	-0.16877884	40000	6.964168	0.09165738	0.0	-0.016311333	0.0	0.16697891	0.925	0.0	95.53581094741821
10	2.447568	0.49543023	2.9455087	1.7304083	1000.0	0.23885341	0.1294159	0.7836475	-0.24402025	44000	10.693306	0.06650366	0.0	-0.012280658	0.0	0.11531147	0.933	0.0	102.8439929485321
